GUID|COUNT|PARENT1|PARENT2|PARENT3|PARENT4|PARENT5|PARENT6|PARENT7|PARENT8|PARENT9|PARENT10 
2379|||||||||||
2386|||||||||||
2393|||||||||||
2401|||||||||||
2415|2||2979||||||||
2422|||||||||||
2429|1|2379|||||||||
2436|||||||||||
2448|||||||||||
2464|||||||||||
2471|1|2464|||||||||
2478|||||||||||
2485|1|2478|||||||||
2492|||||||||||
2499|||||||||||
2506|||||||||||
2513|||||||||||
2520|||||||||||
2527|1|2520|||||||||
2534|||||||||||
2541|||||||||||
2548|||||||||||
2555|||||||||||
2562|1|1593|||||||||
2569|||||||||||
2576|||||||||||
2583|||||||||||
2590|1|2583|||||||||
2597|||||||||||
2604|1|2597|||||||||
2611|2|2448|2738||||||||
2618|||||||||||
2625|||||||||||
2632|2|2625|2618||||||||
2639|1|2632|||||||||
2647|||||||||||
2656|||||||||||
2665|||||||||||
2672|||||||||||
2681|||||||||||
2688|||||||||||
2717|||||||||||
2724|||||||||||
2731|||||||||||
2738|1|2448|||||||||
2745|||||||||||
2752|||||||||||
2759|||||||||||
2766|||||||||||
2773|||||||||||
2780|||||||||||
2787|||||||||||
2794|||||||||||
2801|||||||||||
2815|1|2422|||||||||
2822|||||||||||
2829|2|1666|1659||||||||
2836|||||||||||
2979|||||||||||
3032|||||||||||
3146|||||||||||
3153|||||||||||
3160|||||||||||
3167|||||||||||
3176|||||||||||
3183|||||||||||
3190|||||||||||
3204|2|15664|3248||||||||
3215|1|15657|||||||||
3227|2|15650|3262||||||||
3234|2|3473|15643||||||||
3241|||||||||||
3248|||||||||||
3255|||||||||||
3262|||||||||||
3284|||||||||||
3349|2|1969|15636||||||||
3370|1|3716|||||||||
3377|1|3723|||||||||
3384|1|3730|||||||||
3391|1|3737|||||||||
3402|||||||||||
3410|2|2562|1593||||||||
3424|||||||||||
3431|1|3424|||||||||
3438|||||||||||
3445|||||||||||
3452|1|3445|||||||||
3473|||||||||||
3480|||||||||||
3487|1|3494|||||||||
3494|||||||||||
3501|1|3716|||||||||
3508|||||||||||
3515|||||||||||
3522|||||||||||
3533|||||||||||
3540|||||||||||
3547|||||||||||
3554|||||||||||
3565|||||||||||
3572|||||||||||
3579|||||||||||
3586|||||||||||
3608|||||||||||
3615|||||||||||
3622|||||||||||
3629|||||||||||
3647|||||||||||
3654|||||||||||
3661|||||||||||
3668|||||||||||
3695|1|3702|||||||||
3702|1|15629|||||||||
3709|1|15622|||||||||
3716|||||||||||
3723|||||||||||
3730|||||||||||
3737|||||||||||
3748|||||||||||
3755|||||||||||
3762|||||||||||
3769|||||||||||
3804|||||||||||
3811|||||||||||
3818|||||||||||
3825|||||||||||
3836|||||||||||
3843|||||||||||
3850|||||||||||
3857|||||||||||
3868|||||||||||
3875|||||||||||
3882|||||||||||
3889|||||||||||
3934|||||||||||
3941|||||||||||
3948|||||||||||
3955|||||||||||
3966|||||||||||
3973|||||||||||
3980|||||||||||
3990|||||||||||
3997|||||||||||
4004|||||||||||
4011|||||||||||
4022|||||||||||
4029|||||||||||
4036|||||||||||
4043|||||||||||
4150|||||||||||
4157|||||||||||
4164|||||||||||
4171|||||||||||
4178|||||||||||
4185|||||||||||
4192|||||||||||
4199|||||||||||
4206|||||||||||
4213|||||||||||
4220|||||||||||
4227|||||||||||
4234|||||||||||
4241|||||||||||
4248|||||||||||
4255|||||||||||
4262|||||||||||
4269|||||||||||
4276|2|15615|4220||||||||
4283|1|4227|||||||||
4290|||||||||||
